attribute,human_irr
age,98
gender,97
hair-color,96
long-haired,96
asian,95
white,95
outdoors,94
happy,94
black,93
skin-color,92
islander,89
middle-eastern,88
electable,87
hispanic,87
cute,87
native,87
weight,83
outgoing,82
dominant,79
well-groomed,78
trustworthy,76
attractive,73
gay,73
dorky,72
smug,68
privileged,68
liberal,67
smart,65
alert,58
typical,53
godly,49
memorable,44
familiar,28
looks-like-you,27
